Дата начала,Дата окончания,Ранг,Город проведения,Название клуба,Федерация,Контакты,E-mail,Телефон,reviews,собак на выставке,Когда должны сдать отчет,Когда прислали отчет,"ринговые ведомости, каталог",Фотоотчет?,Проблема?,Задержка?,Одобрено Светланой,Взнос за обработку выставки,Перечислено Светлане,contacts,,,,
08.01.2020,09.01.2020,КЧК,Екатеринбург,"ОО ""КО СВЕРДЛОВСКОЙ ОБЛАСТИ ""ТЕРРА""",ОАНКОО,org_terraclub@inbox.ru; 89222017452,org_terraclub@inbox.ru,89222017452,По фотоотчету - не приехал фотограф,45,30.01.2020,22.01.2020,полный,"нет
январь",№10 - не внесён ВКЧК в ведомость и каталог.,,V,300,,,,,,
11.01.2020,12.01.2020,КЧК,Касли,"ОГОО ""ГКСС Г. ОЗЕРСКА ЧЕЛЯБИНСКОЙ ОБЛАСТИ""",РФСС,gkssozersk@mail.ru; 89191267054,gkssozersk@mail.ru,89191267054,,21,02.02.2020,22.01.2020,полный,полный,"у меня нет ведомостей от них! №6 на фото разве оранж-соболь, как в каталоге?! Фото по ссылке на Фб.
6 - да, оранж-соболь",,V,300,,,,,,
18.01.2020,19.01.2020,КЧК,Нижний Новгород,"НООО ""КИНОЛОГИЧЕСКИЙ ЦЕНТР - НИКА""",ОАНКОО,"dusharossii@yandex.ru; 88312528427, 89043934805",dusharossii@yandex.ru," 88312528427, 89043934805",,22,09.02.2020,29.01.2020,полный,полный,Про сбой в каталоге поняла). В Ведомость не внесён ВКЧК №14 - надо дописывать теперь. Попросить не лепить корешки сертификатов на ведомости. В классах бэби и щенков тоже надо отмечать CW и расстановку.,,V,300,,,,,,
18.01.2020,19.01.2020,КЧК,Новосибирск,"НГООС ""ЦЕНТР НЕМЕЦКИХ ПОРОД""",РФСС,tausdogg@mail.ru; 89833131303,tausdogg@mail.ru,89833131303,,25,09.02.2020,08.02.2020,полный,полный,"Юниорка №5 - брак по окрасу с титулом. Вопрос по окрасу к № 24, записан как оранж, взрослая собака! Под №21 на фото две разные собаки!",,V,300,,,,,,
18.01.2020,19.01.2020,КЧК,Ульяновск,"УГОО СКЦ ""ИМПЕРИАЛ""",РФОС,"iml-dog73@yandex.ru; 89033207522, 89272700276",iml-dog73@yandex.ru," 89033207522, 89272700276",Поделили цвергов!,27,09.02.2020,04.02.2020,полный,"нет
январь","Разделение цвергов не по регламенту! Бардак в отчёте! У кеесов не присужден BOS, в ведомости и каталоге BOB у разных собак! У малых оранж не отмечена ЛС и ВОВ! У малых чёрных есть BOS, но нет ВОВ! У цвергов оранж опять ВОВ в ведомости не совпадает с каталогом! У №20 в ведомости пустая клетка. В юниорах 4 собаки - нет расстановки. Не выбрана BOS! У цвергов чёрных не отмечен ВОВ (вообще 1 собака!)  Похоже бэсты вообще не проводили! Мне кажется, надо написать в группе об этой выставке, пусть участники выскажутся. Всё это тянет на большой выговор!",,,300,,,,,,
18.01.2020,19.01.2020,КЧК,Череповец,"ЧГОО КЛЖ ""АРГУС""",ОАНКОО,"alina.argus@mail.ru; 89217172154, 89215491314",alina.argus@mail.ru," 89217172154, 89215491314",,30,09.02.2020,02.02.2020,полный,"нет
январь","Разделение цвергов не по регламенту! Лишних титулов нет, повезло) Проводили бэсты. Нет ведомостей! В классах не указана расстановка!",,,,,,,,,
19.01.2020,19.01.2020,КЧК,Санкт-Петербург,"К.Л.Ж. ""ПЕТЕРБУРГ""",РФЛС,galpeterburg@yandex.ru; 89219804955,galpeterburg@yandex.ru,89219804955,,18,09.02.2020,02.02.2020,полный,полный,Отчёт чёткий и аккуратный. В каталоге у цвергов не проставлен окрас! Фотоотчёт даже слишком подробный)) Видны номера.Старались. Призовой фонд в бэстах приличный.,,,300,,,,,,
25.01.2020,26.01.2020,КЧК,Воронеж,"ВГОО ""ЦЕНТР ПО ДРЕССИРОВКЕ И
РАЗВЕДЕНИЮ СОБАК ""СОЗВЕЗДИЕ""",РФСС,"streletskajaslob@mail.ru; 89601045664, 84732745802",streletskajaslob@mail.ru," 89601045664, 84732745802",,26,16.02.2020,11.02.2020,полный,полный,Измеряли рост малым и цвергам! В ведомости не отмечен BOS у цвергов. У №22 почему-то пустая ячейка в ведомости. В объектив не попали юниорки с Хорями и дисквал.,,,,,,,,,
25.01.2020,26.01.2020,КЧК,Новосибирск,"КЛУБ ""МОЛОСС""",РФСС,mollos_n.18@mail.ru; 89137119407,mollos_n.18@mail.ru,89137119407,,23,16.02.2020,11.02.2020,полный,полный,"Малые белые - не выбран BOS, обе собаки в каталоге в разброс. Фоткали больше пьедестал, чем для идентификации, номера видны плохо.",,,300,,,,,,
01.02.2020,02.02.2020,Отмена,Санкт-Петербург,"РСПБОО ""КЛУБ ЛЮБИТЕЛЕЙ СОБАК ""КАСКАД""",РФЛС,"gallant007@mail.ru; 89211821514, 89052577913",gallant007@mail.ru," 89211821514, 89052577913",,,23.02.2020,,,,,,,,,,,,,
