breed,judge,number-show,name,dob,number-pedigree,sex,class,titles,certificate,date,club,city,rang
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,1,КАМЧАТСКИЙ ДОМОВЁНОК ФЕЙЕРВЕРК-ШАХ,05.05.2017,метрика,К,Б,"Б.П., Л.Б.",,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,2,SCHASTLIVIY SLUCHAY DLYA BUHTY APPOLONA,01.12.2016,RKF 4801766,К,ЮН,"отл., ЛЮ",ЮПК,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,3,YASNIY AGAT,12.11.2016,метрика,К,ЮН,оч.хор.,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,4,ОСТИН ПРИМО РОССО,19.10.2016,метрика,К,ЮН,отл.2,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,5,ДИЛЛЕР ДЕ КИНГ ИЗ ЗАМКА ИР,05.12.2015,РКФ 4455827,К,ПРМ,ОТЛ.,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ МАЛЫЙ ШПИЦ (оранжевый, серый и др. окрасы)",ГАЧИНА ОКСАНА,6,МИШКА ГАММИ ИЗ ЧЕРТАНОВО,21.02.2016,DED 3200,К,ПРМ,"отл. CW, BOB",ПК,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,7,ABSOLUT IZ SOLNECHNOGO SEVASTOPOLYA,28.09.2015,РКФ 4456437,К,ОТК,ОТЛ.-3,СС,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,8,MAESTRO LITTLE HELPER,07.10.2014,"RKF 4291812, UKU.0218807",К,ОТК,ОЧ.ХОР.,,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,9,SHARMIPOM ORLANDO VITTORIO LEGEND,13.02.2016,RKF 4459829,К,ОТК,"отл. CW, BOB",ПК,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
"НЕМЕЦКИЙ ЦВЕРГШПИЦ (оранжевый, серый и др. окрасы, без пятнистого)",ГАЧИНА ОКСАНА,10,ГРАНДЕ ФЕСТА КРИСТИАН ДИОР,25.11.2014,метрика,К,ОТК,ОТЛ.-2,CC,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК
