с,date,club,city,rang,judge,members,photo,catalog,year,comments
1,24.09.2017,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,ПК,ГАЧИНА ОКСАНА (РОССИЯ),20,да,20170924-sevastopol.pdf,2017,
2,19.11.2017,"В рамках выставки ""Россия-2017"". Организатор - РКФ",МОСКВА,ЧК,JUSSI LIIMATAINEN (ФИНЛЯНДИЯ),96,https://www.facebook.com/media/set/?set=oa.945922475561615&type=3,20171119-moscow.pdf,2017,
3,05.01.2018,"СРОО ""КФЦ ""Кредо-Плюс""",ЮЖНО-САХАЛИНСК,КЧК,АБРАКИМОВ ШАМИЛЬ (РОССИЯ),19,да,20180105-sakhalin.pdf,2018,
4,13.01.2018,"ЛРОО КС ""ВИТА КАНИС""",ЛИПЕЦК,КЧК,МАТВЕЕВА ЕЛЕНА (РОССИЯ),15,https://www.youtube.com/watch?v=mH7DxerX9PA&feature=youtu.be,20180113-lipetsk.pdf,2018,
5,13.01.2018,ООО КЦ Элита,МОСКВА,ПК,ПРОЗОРОВ ДМИТРИЙ (РОССИЯ),21,нет,20180113-moscow.pdf,2018,
6,21.01.2018,НГООС ЦНП,НОВОСИБИРСК,ПК,KUZELJ DENIS (БОЛГАРИЯ),58,https://www.facebook.com/media/set/?set=oa.261040314430173&type=3,20180121-novosibirsk.pdf,2018,
7,21.01.2018,МКОО НОРД,МОСКВА,КЧК,ELZBIЕTA AUGUSTINIAK (ПОЛЬША),29,да,20180121-moscow.pdf,2018,
8,27.01.2018,КЛЖ КАСКАД,САНКТ-ПЕТЕРБУРГ,КЧК,AGNIESZKA ONUK (ТУРЦИЯ),33,да,20180127-sankt-peterburg.pdf,2018,
9,28.01.2018,НГООЛС Клуб Молосс,НОВОСИБИРСК,ПК,ВАСИЛЬЕВ ОЛЕГ (РОССИЯ),48,https://www.facebook.com/profile.php?id=100002059138191&sk=photos&collection_token=100002059138191%3A2305272732%3A69&set=a.1630008503744438.1073741945.100002059138191&type=3&pnref=story,20180128-novosibirsk.pdf,2018,
10,04.02.2018,"СПОО ""КЛЖ ""Петербург""",САНКТ-ПЕТЕРБУРГ,ПК,DUSAN PAUNOVIC (СЕРБИЯ),45,да,20180203-sankt-peterburg.pdf,2018,
11,04.02.2018,"ОО ""КССКО""",КИРОВ,КЧК,КИТАЕВА С. (РОССИЯ),32,https://www.facebook.com/media/set/?set=oa.1170928363061024&type=3,20180204-kirov.pdf,2018,
12,11.02.2018,"ЛГОО КС ""ИМПЕРИЯ ЛОНД""",ЛИПЕЦК,КЧК,ЖУК АНАТОЛИЙ (БЕЛАРУСЬ),15,нет,20180211-lipetsk.pdf,2018,
13,17.02.2018,"ОО ПК КЛЖ  ""ЛЮКОМ""",ПЕРМЬ,КЧК,ОСТРОВСКАЯ МАРИНА (РОССИЯ),46,нет,20180217-perm.pdf,2018,
